timestamp,price,open,high,low,close,net_value,alpha,position_size,avg_price,decision_made,decision_type,quantity_pct,take_profit_price,stop_loss_price,similar_pattern_found
2025-02-20T16:00:00,98422.9,,,,,99988.82634952028,-0.32484483259020647,,,False,HOLD,,,,YES
2025-02-20T20:00:00,98307.9,,,,,99935.86859352788,-0.3238265558799371,,,True,LONG,,,,YES
2025-02-21T00:00:00,98163.9,,,,,99821.01123327127,-0.32303694674417394,,,True,SHORT,,,,YES
2025-02-21T04:00:00,98173.9,98164.0,98600.0,98121.9,98173.9,99717.75319659388,284.2539083169292,0.0,,True,CLOSE_SL_HIT,0.0,95000.0,98500.0,YES
2025-02-21T08:00:00,98623.8,98173.9,98926.6,98100.1,98623.8,99566.63450143837,-189.5795775702241,0.0,,True,CLOSE_SL_HIT,0.0,0.0,0.0,YES
2025-02-21T12:00:00,98110.0,,,,,99566.63450143837,-0.3248552414958646,,,False,HOLD,,,,NO
2025-02-21T16:00:00,95272.4,,,,,99566.63450143837,-0.2866622738689001,,,True,LONG,,,,NO
2025-02-21T20:00:00,96172.9,,,,,99861.16713364754,-0.29583731946254044,,,False,HOLD,,,,NO
2025-02-22T00:00:00,96282.1,,,,,99901.10983237924,-0.29690768105178994,,,False,HOLD,,,,NO
2025-02-22T04:00:00,96287.3,,,,,99903.01186565217,-0.2969586506512781,,,False,HOLD,,,,NO
2025-02-22T08:00:00,96569.8,,,,,100006.3434809608,-0.29972767216192775,,,False,HOLD,,,,NO
2025-02-22T12:00:00,96581.4,,,,,100010.58647826198,-0.2998413735761702,,,False,HOLD,,,,NO
2025-02-22T16:00:00,96643.9,,,,,100033.44745510016,-0.3004539889546326,,,False,HOLD,,,,NO
2025-02-22T20:00:00,96552.1,,,,,99999.86925232023,-0.2995541794867472,,,False,HOLD,,,,NO
2025-02-23T00:00:00,96418.1,96552.1,96648.0,96368.0,96418.1,99964.55284717176,397.91834573338906,0.0,,True,CLOSE_MANUAL,0.0,0.0,0.0,YES
2025-02-23T04:00:00,96509.1,,,,,99964.55284717176,-0.29932858063720313,,,True,LONG,,,,NO
2025-02-23T08:00:00,96113.0,,,,,99464.51109523592,-0.29899764966592113,,,False,HOLD,,,,NO
2025-02-23T12:00:00,95451.7,,,,,98793.23317821175,-0.29680959380243305,,,False,HOLD,,,,NO
2025-02-23T16:00:00,95763.9,,,,,99110.14375691272,-0.29784257586893986,,,False,HOLD,,,,NO
2025-02-23T20:00:00,96264.7,,,,,99618.49999590516,-0.2994995823356491,,,False,HOLD,,,,NO
2025-02-24T00:00:00,95428.0,,,,,98769.17558463324,-0.2967311771625349,,,True,SHORT,,,,YES
2025-02-24T04:00:00,95868.4,95428.1,95954.9,95070.7,95868.4,98395.16649444192,-1292.1437050031575,0.0,,True,CLOSE_MANUAL,0.0,94800.0,96500.0,YES
2025-02-24T08:00:00,95823.1,,,,,98418.60952821598,-0.3055547266149983,,,False,HOLD,,,,NO
2025-02-24T12:00:00,94338.1,95823.1,96094.4,93827.1,94338.1,98899.01059339191,226.6014512233178,0.0,,True,CLOSE_TP_HIT,0.0,0.0,0.0,YES
2025-02-24T16:00:00,93940.1,,,,,98899.01059339191,-0.275406284739115,,,True,LONG,,,,YES
2025-02-24T20:00:00,91534.5,,,,,97977.51105231364,-0.2522428607379208,,,True,LONG,,,,YES
2025-02-25T00:00:00,92162.9,,,,,98384.76496088973,-0.2566283357685907,,,False,HOLD,,,,YES
2025-02-25T04:00:00,89310.6,,,,,96400.26932696554,-0.23808246832633054,,,False,HOLD,,,,YES
2025-02-25T08:00:00,89252.3,,,,,96359.70694030993,-0.2377033973759103,,,False,HOLD,,,,YES
2025-02-25T12:00:00,87241.6,,,,,94960.75683999392,-0.22462967593491434,,,False,HOLD,,,,YES
2025-02-25T16:00:00,87928.4,,,,,95438.59984436902,-0.22909530078480542,,,False,HOLD,,,,YES
